candidate_id,design_id,design_index,activity_pair,topology,distance_a,doping,angle_deg,variant_id,score,max_force_ev_per_a,complete_profile_count,retained_profile_activities
041d77dd,x21,21,Glutathione Peroxidase + Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7128336754291368,0.0440221198446846,2,Glutathione Peroxidase; Peroxidase
e20f356a,x21,21,Oxidase + Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7128336754291368,0.0440221198446846,2,Oxidase; Peroxidase
c3d7b2be,x23,23,Catalase + Glutathione Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7274134908585247,0.0463153847320424,2,Catalase; Glutathione Peroxidase
3c24a739,x23,23,Catalase + Oxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7274134908585247,0.0463153847320424,2,Catalase; Oxidase
e05e0274,x23,23,Glucose Oxidase + Glutathione Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7244439484006586,0.046945396363707,2,Glucose Oxidase; Glutathione Peroxidase
2eb65b9e,x23,23,Glucose Oxidase + Oxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.7244439484006586,0.046945396363707,2,Glucose Oxidase; Oxidase
77b47a61,x23,23,Glutathione Peroxidase + Oxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.6978692634012092,0.0457559273028352,1,Oxidase
9b19eaa6,x23,23,Glutathione Peroxidase + Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.6929325984771351,0.0403223690585662,1,Peroxidase
f35b0148,x23,23,Oxidase + Peroxidase,independent separated,11.4,N,135,x23_separated_d11.4_n_a135,0.6929325984771351,0.0403223690585662,2,Oxidase; Peroxidase
a85ddc11,x24,24,Catalase + Glutathione Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7511612657312534,0.0457318593784649,2,Catalase; Glutathione Peroxidase
df57707f,x24,24,Catalase + Oxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7511612657312534,0.0457318593784649,2,Catalase; Oxidase
d90a3cfc,x24,24,Catalase + Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.791822499500259,0.0434643230900344,2,Catalase; Peroxidase
1254576c,x24,24,Glutathione Peroxidase + Oxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7410842145218415,0.0413801782365245,2,Glutathione Peroxidase; Oxidase
d5e32805,x24,24,Glutathione Peroxidase + Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7812096909741286,0.0473086989042248,2,Glutathione Peroxidase; Peroxidase
2683d752,x24,24,Oxidase + Peroxidase,independent adjacent,8.8,N,15,x24_adjacent_d8.8_n_a15,0.7812096909741286,0.0473086989042248,2,Oxidase; Peroxidase
7092a769,x24,24,Glutathione Peroxidase + Peroxidase,independent separated,12.0,N,15,x24_separated_d12.0_n_a15,0.6724725945384546,0.0475514610694481,2,Glutathione Peroxidase; Peroxidase
3e66ea84,x24,24,Oxidase + Peroxidase,independent separated,12.0,N,15,x24_separated_d12.0_n_a15,0.6724725945384546,0.0475514610694481,2,Oxidase; Peroxidase
ee0eb0b5,x25,25,Glutathione Peroxidase + Oxidase,independent separated,13.0,NS,45,x25_separated_d13.0_ns_a45,0.7570233351841287,0.037652443875212,2,Glutathione Peroxidase; Oxidase
71c3c53b,x25,25,Glutathione Peroxidase + Peroxidase,independent separated,13.0,NS,45,x25_separated_d13.0_ns_a45,0.7435641033269726,0.0497534533709731,2,Glutathione Peroxidase; Peroxidase
a74f064d,x25,25,Oxidase + Peroxidase,independent separated,13.0,NS,45,x25_separated_d13.0_ns_a45,0.7435641033269726,0.0497534533709731,2,Oxidase; Peroxidase
fa9ef7ad,x26,26,Catalase + Oxidase,bridged,8.0,S,75,x26_bridged_d8.0_s_a75,0.7524928501066004,0.0477210657274509,2,Catalase; Oxidase
